Method,Compressed_Layers,Ratio,PPL
MPO_LoRA_Base,3-12,0.6,75.47
MPO_LoRA_Base,3-13,0.6,109.94
MPO_LoRA_Base,3-14,0.6,166.52
MPO_LoRA_Base,3-15,0.6,250.08
MPO_LoRA_Base,3-16,0.6,308.99
MPO_LoRA_Base,3-17,0.6,424.89
MPO_LoRA_Base,3-18,0.6,516.11
MPO_LoRA_Base,3-19,0.6,564.69
MPO_LoRA_Base,3-20,0.6,645.13
MPO_LoRA_Base,3-21,0.6,659.0
MPO_LoRA_Base,3-22,0.6,671.29
MPO_LoRA_Base,3-23,0.6,647.01
MPO_LoRA_Base,3-24,0.6,644.87
MPO_LoRA_Base,3-25,0.6,638.15
MPO_LoRA_Base,3-26,0.6,618.42
MPO_LoRA_Base,3-27,0.6,675.33
MPO_LoRA_Base,3-28,0.6,676.12
MPO_LoRA_Base,3-29,0.6,700.78
MPO_LoRA_Base,3-30,0.6,673.12
MPO_LoRA_Base,3-31,0.6,768.38
MPO_LoRA_Permuted,3,0.6,4.98
MPO_LoRA_Permuted,3-4,0.6,5.46
MPO_LoRA_Permuted,3-5,0.6,6.95
MPO_LoRA_Permuted,3-6,0.6,10.66
MPO_LoRA_Permuted,3-7,0.6,17.03
MPO_LoRA_Permuted,3-8,0.6,19.05
MPO_LoRA_Permuted,3-9,0.6,22.47
MPO_LoRA_Permuted,3-10,0.6,28.33
MPO_LoRA_Permuted,3-11,0.6,32.81
MPO_LoRA_Permuted,3-12,0.6,41.23
MPO_LoRA_Permuted,3-13,0.6,56.17
MPO_LoRA_Permuted,3-14,0.6,78.78
MPO_LoRA_Permuted,3-15,0.6,112.74
MPO_LoRA_Permuted,3-16,0.6,144.41
MPO_LoRA_Permuted,3-17,0.6,172.85
MPO_LoRA_Permuted,3-18,0.6,208.98
MPO_LoRA_Permuted,3-19,0.6,244.19
MPO_LoRA_Permuted,3-20,0.6,261.69
MPO_LoRA_Permuted,3-21,0.6,287.27
MPO_LoRA_Permuted,3-22,0.6,305.31
MPO_LoRA_Permuted,3-23,0.6,301.82
MPO_LoRA_Permuted,3-24,0.6,298.04
MPO_LoRA_Permuted,3-25,0.6,298.85
MPO_LoRA_Permuted,3-26,0.6,305.71
MPO_LoRA_Permuted,3-27,0.6,335.59
MPO_LoRA_Permuted,3-28,0.6,341.25
MPO_LoRA_Permuted,3-29,0.6,335.13
MPO_LoRA_Permuted,3-30,0.6,366.29
MPO_LoRA_Permuted,3-31,0.6,378.16
NO_E@E_healing,ALL,0.6,46.7
