Layer,Mode,PPL
21,Mode 2: MPO + LoRA,6.34
21,Mode 3: Perm + MPO,6.32
21,Mode 4: Perm + MPO + LoRA,6.33
22,Mode 1: Pure MPO,6.32
22,Mode 2: MPO + LoRA,6.31
22,Mode 3: Perm + MPO,6.33
22,Mode 4: Perm + MPO + LoRA,6.32
23,Mode 1: Pure MPO,6.28
23,Mode 2: MPO + LoRA,6.28
23,Mode 3: Perm + MPO,6.28
23,Mode 4: Perm + MPO + LoRA,6.28
24,Mode 1: Pure MPO,6.22
24,Mode 2: MPO + LoRA,6.21
24,Mode 3: Perm + MPO,6.23
24,Mode 4: Perm + MPO + LoRA,6.22
25,Mode 1: Pure MPO,6.28
25,Mode 2: MPO + LoRA,6.28
25,Mode 3: Perm + MPO,6.28
25,Mode 4: Perm + MPO + LoRA,6.26
26,Mode 1: Pure MPO,6.3
26,Mode 2: MPO + LoRA,6.31
26,Mode 3: Perm + MPO,6.3
26,Mode 4: Perm + MPO + LoRA,6.3
27,Mode 1: Pure MPO,6.34
27,Mode 2: MPO + LoRA,6.34
27,Mode 3: Perm + MPO,6.34
27,Mode 4: Perm + MPO + LoRA,6.34
28,Mode 1: Pure MPO,6.33
28,Mode 2: MPO + LoRA,6.31
28,Mode 3: Perm + MPO,6.34
28,Mode 4: Perm + MPO + LoRA,6.32
29,Mode 1: Pure MPO,6.49
29,Mode 2: MPO + LoRA,6.47
29,Mode 3: Perm + MPO,6.46
29,Mode 4: Perm + MPO + LoRA,6.44
30,Mode 1: Pure MPO,6.66
30,Mode 2: MPO + LoRA,6.58
30,Mode 3: Perm + MPO,6.66
30,Mode 4: Perm + MPO + LoRA,6.62
31,Mode 1: Pure MPO,9.15
31,Mode 2: MPO + LoRA,7.23
31,Mode 3: Perm + MPO,8.24
31,Mode 4: Perm + MPO + LoRA,7.27
Baseline,Full_Model,6.06
10,Mode 1: Pure MPO,6.25
10,Mode 2: MPO + LoRA,6.29
10,Mode 3: Perm + MPO,6.25
10,Mode 4: Perm + MPO + LoRA,6.28
